player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kristaps Porzingis,porzikr01,2020,RS,DAL,3837,1814,.2145985116250472,1.678808639709127,1.893407151334174,1.498272246508062,1.369487051701748,2.86775929820981,.3687874433655359,1.736279781703409,2.105067225068945,4.52105292166541,4.52105292166541,0,2.331364376506724,1.528203646423506,3.85956802293023,.6288567664656903
Dwight Powell,poweldw01,2020,RS,DAL,2197,1061,-.9796907124080799,.7347264612697383,-.2449642511383416,3.321529141788818,.8764630241749265,4.197992165963744,-.1765252579511223,.8276517561204171,.6511264981692948,1.830131843989564,1.830131843989564,0,.5525464697283835,.8819226465788543,1.434469116307238,-.6085652567375502
Norman Powell,powelno01,2020,PO,TOR,567,273,1.121887420871889,-.4152677979664852,.7066196229054038,-2.607749167700424,4.586341806384475,1.97859263868405,.4049556165049092,.5308451110556746,.9358007275605837,.5316513049026909,0,.5316513049026909,1.069664586206173,.5504994460549972,1.62016403226117,.4083048191222832
Norman Powell,powelno01,2020,RS,TOR,3188,1479,.8654132483081721,-.2894364943433144,.5759767539648577,-.5744835631394725,-.9156329260521204,-1.490116489191593,.5951977898462522,-.4760547521931828,.1191430376530694,2.174388527081461,2.174388527081461,0,.5879819448594954,-.2844587856646539,.3035231591948415,.4420833981448117
Taurean Prince,princta02,2020,RS,BRK,3948,1857,-2.918131056226384,.1655246984601861,-2.752606357766198,.4310057657281127,.4104846833096214,.8414904490377342,-2.386240312712947,.2155794682587135,-2.170660844454233,.5523098159801767,.5523098159801767,0,-1.726806610111049,.280638227675136,-1.446168382435913,.6361702014756712
Chasson Randle,randlch01,2020,RS,GSW,87,40,-3.165347182730337,-3.340140064796058,-6.505487247526395,1.501407163960982,-.2445396708570434,1.256867493103939,-2.377688924200574,-2.901848964920679,-5.279537889121253,-.051187249995572,-.051187249995572,0,-2.456606555813721,-2.325188303222544,-4.781794859036264,-.8614871529735746
Julius Randle,randlju01,2020,RS,NYK,4321,2080,-1.031656907755027,-.7497423212384434,-1.781399228993471,.1606909640650093,1.236608123339163,1.397299087404172,-.7756692726321404,-.3472013533147726,-1.122870625946913,1.726633452252244,1.726633452252244,0,-1.116358286547713,-.5759559135916887,-1.692314200139402,-.0060475673548765
Josh Reaves,reavejo02,2020,PO,DAL,20,9,-5.02221706755474,8.609534258807013,3.587317191252273,-17.76557867036038,-2.749371671655191,-20.51495034201557,-7.972669949343942,6.793662543594198,-1.179007405749743,.007455846997783,0,.007455846997783,-4.569079154497725,1.866190252249847,-2.702888902247878,.2128187419142109
Josh Reaves,reavejo02,2020,RS,DAL,57,28,-7.542549115892355,-3.488421670376019,-11.03097078626837,-5.467780163575783,7.429232230835595,1.961452067259811,-7.574501828615113,-1.375590564954547,-8.95009239356966,-.0879830006333733,-.0879830006333733,0,-5.829237533130911,-2.181097922680903,-8.010335455811813,-.6790328750436148
Cam Reddish,reddica01,2020,RS,ATL,3412,1551,-3.345093185090037,-.0103991339910595,-3.355492319081097,-.6604172197154273,-.4305826697860238,-1.090999889501451,-2.947828960038752,-.0308583490363596,-2.978687309075112,-.1825428545170024,-.1825428545170024,0,-2.717351514362914,-.4692966458566278,-3.186648160219542,.8903215857061972
JJ Redick,redicjj01,2020,RS,NOP,3495,1581,2.584550198875244,-2.917734655324234,-.3331844564489908,1.095677332819415,-2.963777058963536,-1.868099726144121,2.422271253335463,-3.095112604044339,-.6728413507088762,1.691994884057889,1.691994884057889,0,2.728476256103337,-3.216902430067743,-.488426173964406,1.005768926736823
Naz Reid,reidna01,2020,RS,MIN,1089,495,-.9038311116597342,1.457721861661991,.553890750002257,1.447893530083498,1.344835683853014,2.792729213936512,-.4117029198921642,1.557403983074535,1.145701063182371,.9877674685014605,.9877674685014605,0,-.1542671275528282,2.24748271342523,2.093215585872402,.4059920319655532
Josh Richardson,richajo01,2020,PO,PHI,291,144,1.224863225754964,-2.838927711722441,-1.614064485967478,.1714621984386558,12.89921417508501,13.07067637352367,1.121968873101316,.3057117305275484,1.427680603628864,.3207460439493302,0,.3207460439493302,2.08619917688678,.3475838757317663,2.433783052618547,1.315228635713251
Josh Richardson,richajo01,2020,RS,PHI,3540,1693,-.3671611262139701,.8158001643103509,.4486390380963807,.3928006594545098,.7001774920709143,1.092978151525424,-.2454507672345358,.8152440099819026,.5697932427473668,2.854450304770327,2.854450304770327,0,-.0439667637426365,1.13548953865021,1.091522774907573,-.4658406059382343
Austin Rivers,riverau01,2020,PO,HOU,440,211,-2.489892982748287,-1.01001072973653,-3.499903712484817,2.064900558362221,1.025498548806636,3.090399107168857,-1.698883727017708,-.7191562211976944,-2.418039948215402,.0366964565990472,0,.0366964565990472,-.5668159182662151,-1.004425617240438,-1.571241535506654,-.4324715714439687
